46279	46321	47268	48342	49172	50401	51003	51542	50601	48664	47743	46665	46093	45511	45617	44722	44195	44111	44422	45287	44572	47009	48105	50635	50983	52113	50575	50862	50264	48556	46406	44830	43683	42622	41279	42029	41671	41282	40728	40470	39886	40764	39406	39475	38209	39030	38760	38443	38126	37327	38169	37412	31871	30678	29885	30502	31207	34348	34292	34844	33837	34631	34137	34570	32701	31993	31369	30203	28808	28804	28138	25916	24742	23129	21486	20362	18171	16939	15592	13750	12533	10468	9512	8231	6904	5838	4752	3868	3126	2479	1820	1411	946	701	526	303	180	99	64	82	0
43286	45493	45905	47174	48221	49128	50195	50645	51549	50619	48710	47801	46733	46205	45722	46210	45399	45162	45330	45613	46520	45959	48291	49297	51628	51699	52585	50900	51017	50274	48518	46347	44663	43551	42483	41127	41922	41602	41225	40702	40330	39802	40658	39365	39419	38184	39000	38730	38412	38047	37296	38108	37260	31812	30620	29809	30360	31074	34199	34101	34564	33637	34292	33811	34211	32289	31593	30902	29675	28273	28164	27441	25247	23980	22333	20591	19399	17251	15964	14612	12697	11497	9573	8559	7351	6024	5020	4063	3224	2558	1974	1396	1092	718	499	386	204	118	60	90	0
41290	42539	44863	45515	46987	48200	48993	49904	50551	51625	50720	48805	47906	46866	46365	46015	46580	45957	45964	46341	46574	47527	47059	49286	50247	52350	52162	52822	50989	50929	50082	48307	46148	44332	43297	42267	40939	41783	41548	41216	40739	40299	39789	40666	39407	39419	38157	38933	38624	38301	37953	37219	37992	37068	31719	30520	29694	30167	30903	33994	33855	34262	33418	33921	33450	33746	31869	31097	30426	29162	27675	27532	26666	24459	23183	21476	19655	18425	16290	14908	13557	11689	10496	8597	7614	6393	5168	4235	3398	2632	2033	1552	1097	806	524	328	264	147	74	82	0
39508	40080	42017	44744	45652	47181	48201	48988	49957	50583	51712	50753	48822	47903	46849	46340	45972	46638	46064	46183	46688	46938	47922	47526	49774	50723	52741	52481	53019	51086	50996	50089	48300	46122	44245	43244	42230	40880	41759	41509	41172	40748	40229	39727	40601	39392	39336	38101	38875	38527	38204	37848	37113	37875	36896	31580	30361	29527	30011	30727	33720	33595	33949	33160	33502	33037	33346	31416	30612	29897	28598	27098	26820	25880	23716	22334	20607	18749	17440	15290	13866	12511	10663	9532	7632	6654	5567	4420	3551	2812	2123	1593	1234	825	604	393	216	177	97	82	0
36437	38137	39416	41499	44254	44970	46229	47453	48509	49602	50223	51399	50499	48564	47736	46673	46138	45799	46374	45723	45903	46147	46576	47483	47007	49255	49938	51879	51616	52083	50202	50119	49224	47533	45393	43505	42635	41594	40404	41266	41057	40760	40337	39862	39351	40223	39132	39008	37819	38587	38256	37909	37580	36818	37621	36583	31296	30103	29258	29779	30407	33407	33232	33556	32804	33062	32531	32843	30933	30049	29279	27992	26429	26058	25080	22836	21445	19670	17699	16379	14300	12830	11507	9672	8500	6770	5792	4813	3713	2941	2316	1697	1254	930	623	437	276	161	107	97	0
35535	35530	37483	38909	41029	43430	43901	45377	46965	48097	49332	49886	51051	50234	48404	47601	46485	45957	45643	46123	45482	45636	45837	46119	47013	46410	48573	49186	50958	50627	51088	49317	49417	48486	46805	44682	42742	41989	41027	39951	40791	40620	40382	39970	39479	38963	39861	38782	38651	37484	38278	37980	37563	37291	36543	37287	36258	31003	29864	29012	29511	30102	32996	32866	33142	32427	32609	32016	32286	30416	29453	28693	27290	25668	25236	24214	21945	20473	18655	16649	15374	13223	11819	10447	8607	7513	5893	4872	4042	3057	2363	1833	1319	950	677	441	303	182	109	114	0
34929	34898	35318	37442	38750	40665	42776	43412	45109	46789	47915	49247	49761	50943	50176	48370	47506	46529	46179	45747	46316	45536	45711	45836	46069	46963	46335	48460	48917	50596	50274	50660	48926	49074	48058	46469	44335	42358	41652	40725	39657	40532	40350	40130	39718	39252	38738	39570	38569	38429	37237	38084	37750	37288	37003	36292	36999	35939	30763	29656	28765	29244	29783	32641	32519	32745	32073	32180	31497	31730	29872	28791	27991	26625	24924	24350	23285	21049	19474	17588	15614	14302	12175	10812	9429	7676	6561	5098	4146	3393	2505	1906	1456	1049	736	504	306	213	129	131	0
34271	34310	34892	35450	37554	38635	40400	42486	43364	45091	46832	47918	49317	49760	51005	50181	48397	47536	46544	46140	45864	46398	45670	45899	45920	46144	47033	46344	48491	48823	50492	50147	50548	48753	49001	47931	46360	44130	42236	41503	40600	39555	40390	40189	40012	39589	39118	38571	39394	38415	38253	37062	37895	37540	37079	36793	36067	36743	35662	30535	29394	28514	28975	29466	32263	32123	32296	31671	31714	30956	31108	29272	28130	27242	25820	24063	23416	22323	20116	18432	16483	14545	13138	11132	9696	8354	6727	5647	4340	3462	2792	2004	1466	1088	796	540	371	219	146	153	0
34568	33952	34513	35032	35412	37496	38431	40149	42421	43376	45140	46931	47968	49471	49949	51169	50332	48569	47763	46745	46445	46163	46769	46011	46137	46189	46254	47187	46488	48556	48849	50536	50166	50525	48676	48955	47872	46300	44075	42143	41432	40542	39489	40256	40076	39877	39478	38975	38440	39192	38287	38053	36892	37698	37313	36854	36563	35832	36513	35357	30265	29144	28222	28630	29181	31913	31770	31859	31217	31223	30419	30494	28558	27436	26448	24966	23184	22441	21269	19069	17372	15416	13509	12013	10044	8639	7371	5801	4795	3663	2836	2235	1578	1164	830	575	383	266	164	174	0
35852	34519	34033	34679	35112	35781	37433	38364	40216	42450	43548	45332	47103	48147	49706	50158	51414	50626	49105	48078	47283	47038	46568	47153	46393	46565	46565	46562	47379	46719	48853	49074	50662	50253	50620	48695	49039	47825	46354	44016	42154	41377	40515	39472	40187	40017	39793	39400	38834	38307	39063	38156	37897	36748	37540	37079	36614	36312	35611	36281	35032	30037	28861	27953	28347	28861	31558	31356	31416	30747	30669	29835	29815	27830	26662	25668	24066	22212	21331	20135	18000	16216	14291	12326	10884	8901	7651	6338	4927	4016	3034	2242	1726	1212	854	606	402	262	166	204	0
35626	35816	34675	34255	34822	35564	35847	37425	38487	40380	42600	43721	45384	47111	48163	49815	50287	51699	51005	49450	48561	47806	47785	47269	47702	47053	47159	47137	46916	47811	47029	49000	49153	50823	50347	50713	48788	49107	47913	46381	44048	42120	41379	40475	39448	40171	39973	39745	39345	38720	38245	38959	38012	37786	36587	37350	36893	36395	36081	35360	36041	34759	29788	28556	27689	28055	28562	31203	30925	30952	30270	30144	29180	29087	27086	25834	24743	23046	21166	20226	18917	16804	14980	13052	11130	9696	7889	6616	5386	4142	3314	2468	1762	1314	887	627	435	274	184	221	0
