14509	13502	12646	12531	12151	11917	11652	10434	9156	7987	6952	6260	5774	5048	4772	4452	4205	4105	4663	5869	7113	7487	8589	9478	10669	12670	11930	13573	14646	15133	15540	17274	16576	15627	15045	14512	13837	12850	11637	10597	10027	9772	8834	7857	7184	6672	6048	5692	5364	5108	4574	4452	2859	2140	2027	2362	2796	2906	2747	2460	2135	2001	1858	1703	1452	1417	1301	1171	1075	993	850	821	737	653	602	500	465	440	388	412	316	284	270	272	218	180	158	109	88	91	50	39	32	26	15	12	5	4	0	3	0
13517	13643	12951	12408	12243	11853	11571	11233	10361	9131	7951	6951	6375	5944	5233	5060	4928	4720	4588	5017	6086	7458	8368	9539	10788	11897	13722	12800	14335	15097	15387	15623	17180	16436	15421	14792	14238	13550	12569	11414	10389	9825	9568	8651	7649	7045	6547	5948	5598	5281	5005	4509	4345	2841	2150	2056	2322	2717	2825	2656	2352	2037	1943	1806	1641	1407	1374	1245	1156	1060	983	841	796	714	627	566	468	448	413	359	384	286	269	248	243	187	159	144	98	79	71	38	33	22	21	9	8	3	3	3	0
12882	12657	12880	12363	12066	12041	11466	11174	10873	10241	9085	7882	6934	6478	6112	5437	5314	5223	5058	4851	5097	6031	7524	8974	10210	11837	12858	14467	13400	14828	15264	15362	15495	16826	16068	15021	14401	13874	13144	12252	11181	10198	9685	9368	8458	7456	6878	6343	5748	5456	5098	4789	4374	4172	2792	2149	2019	2253	2602	2692	2507	2228	1949	1871	1733	1580	1341	1321	1199	1139	1036	953	825	770	688	596	538	434	415	392	326	355	255	242	224	218	152	137	109	77	56	58	33	25	15	12	5	7	2	3	0
11924	11649	12025	12576	12338	12086	11880	11244	10981	10699	10067	8835	7708	6806	6397	6070	5424	5273	5255	5123	4890	5125	6044	7586	9217	10488	12253	13221	14746	13648	15018	15332	15384	15437	16670	15880	14818	14233	13662	12938	12077	11033	10070	9547	9209	8331	7322	6751	6221	5678	5365	4960	4684	4299	4078	2768	2116	1992	2205	2525	2586	2364	2136	1868	1804	1667	1509	1288	1254	1155	1105	1006	920	796	742	664	562	507	414	386	368	302	312	228	211	191	186	121	114	93	52	42	44	20	19	10	11	4	6	2	0
10016	10570	10960	11344	11862	11433	10837	10789	10489	10412	10062	9379	8376	7332	6474	6152	5851	5246	5009	4826	4531	4497	4972	6026	7389	9018	10182	11773	12618	13901	12762	13971	14285	14323	14370	15428	14812	13720	13318	12809	12194	11350	10427	9456	8980	8687	7855	6892	6331	5888	5377	5061	4689	4372	4066	3844	2600	1983	1876	2034	2308	2346	2157	1990	1761	1582	1494	1397	1218	1192	1093	1047	937	873	743	691	617	523	469	383	347	329	272	264	196	181	163	157	100	98	79	43	31	31	17	10	6	9	2	3	0
8804	8929	9680	10199	10542	10873	10125	9699	9928	9780	9655	9271	8750	7815	6904	6162	5855	5546	4942	4689	4522	4356	4687	5230	6067	7435	9052	10000	11329	11983	12883	11842	12993	13219	13359	13344	14411	13736	12700	12372	11918	11410	10661	9698	8869	8455	8131	7423	6504	5988	5566	5061	4691	4414	4126	3830	3626	2419	1854	1695	1846	2048	2175	2019	1850	1538	1407	1400	1316	1154	1142	1041	965	894	818	701	646	581	480	415	356	314	290	239	217	163	151	136	117	82	73	60	21	24	18	9	5	5	8	0	0
8556	8156	8652	9444	9991	10035	9925	9285	9185	9460	9230	8942	8638	8261	7474	6718	5935	5761	5478	4804	4504	4460	4687	5094	5544	6429	7695	9181	10024	11134	11529	12352	11315	12444	12596	12736	12744	13697	13020	12073	11732	11330	10850	10119	9233	8473	8074	7732	7094	6218	5759	5292	4785	4461	4197	3936	3624	3402	2302	1734	1600	1660	1890	2061	1911	1642	1384	1327	1330	1261	1105	1097	981	896	833	766	642	603	542	437	372	316	272	261	206	189	145	126	106	97	68	51	43	17	17	13	5	5	5	4	0
6115	6959	7099	7717	8573	8744	8519	8293	8108	8006	8269	8183	8174	8007	7789	7173	6542	5802	5664	5244	4662	4487	4755	5137	5541	6065	6808	7855	9298	10075	11082	11442	12118	11048	12101	12270	12366	12384	13286	12631	11756	11393	10962	10522	9775	8973	8266	7898	7488	6939	6060	5556	5128	4643	4307	4067	3765	3500	3247	2181	1611	1466	1568	1784	1957	1691	1517	1306	1258	1273	1204	1041	1049	916	837	787	720	592	560	491	403	334	275	241	230	183	150	114	104	87	75	56	37	32	12	13	11	4	3	2	0
5611	5853	6554	6606	7002	7849	7880	7660	7621	7478	7424	7713	7651	7743	7644	7534	7067	6426	5760	5572	5219	4779	4940	5415	5693	6145	6622	7264	8235	9691	10280	11179	11451	11983	10914	11894	12059	12124	12129	13049	12378	11506	11161	10665	10222	9578	8753	8042	7666	7354	6784	5856	5391	4982	4531	4187	3952	3658	3352	3088	2029	1484	1388	1473	1690	1716	1551	1428	1231	1199	1205	1142	981	989	859	774	721	658	547	518	445	356	289	239	209	199	151	126	88	88	77	56	44	23	30	8	8	12	4	3	0
6008	5702	5825	6417	6485	7120	7474	7534	7428	7497	7365	7379	7583	7490	7689	7703	7571	7026	6508	5789	5713	5513	5425	5663	6177	6553	6935	7371	7925	8712	10130	10555	11400	11526	11989	10909	11833	11953	11952	11941	12822	12192	11344	10946	10481	10004	9459	8551	7908	7567	7216	6664	5730	5245	4880	4447	4052	3789	3512	3191	2905	1884	1433	1299	1423	1516	1551	1467	1347	1179	1165	1143	1070	927	930	806	732	690	601	501	471	394	312	254	221	186	165	124	104	70	66	56	43	34	17	20	5	5	5	4	0
