48617	49189	49203	51023	51441	52843	54036	53818	52683	50812	49414	48388	47968	47294	47270	46348	45185	44155	44520	45917	46062	47377	47490	48800	49869	52518	51747	51884	51619	50466	47694	46059	45222	44341	43092	43552	43504	42766	41291	40864	39933	40309	38620	37874	37227	37123	36548	36025	36356	35873	36393	36039	30248	29271	28352	29200	29154	31941	31488	31453	29598	30151	29085	28596	27015	26274	24790	23655	22220	21573	20150	18008	17201	15181	14138	12980	11546	10359	9226	8246	7069	5964	5125	4476	3729	3153	2418	1948	1626	1248	920	682	454	288	202	134	80	41	20	19	0
46050	47789	48727	49115	50845	51294	52639	53745	53851	52773	50909	49489	48489	48073	47346	47398	46634	45554	44473	44685	45977	46265	48156	48444	50160	51175	53628	52674	52719	52102	50773	47849	46012	45157	44188	42923	43338	43279	42522	41113	40678	39737	40090	38415	37601	37040	36935	36366	35821	36158	35663	36135	35722	30011	29059	28140	28903	28800	31524	31029	30909	29054	29531	28502	27903	26357	25532	24015	22880	21389	20746	19304	17069	16278	14316	13238	12078	10676	9495	8466	7402	6298	5256	4439	3872	3146	2638	2008	1576	1307	968	681	513	314	199	137	87	53	27	22	0
43690	45253	47122	48285	48946	50779	51071	52390	53540	53882	52865	51002	49569	48569	48145	47403	47485	46750	45736	44542	44587	45744	46195	48655	49122	51230	52217	54427	53333	53283	52322	50821	47786	45716	44870	43858	42636	43036	42921	42226	40931	40494	39598	39862	38203	37361	36843	36641	36060	35559	35837	35308	35792	35304	29752	28857	27875	28547	28367	31055	30463	30302	28478	28890	27808	27180	25602	24772	23224	22031	20623	19780	18393	16205	15350	13403	12338	11162	9777	8592	7638	6628	5553	4566	3821	3298	2637	2171	1601	1232	981	744	522	375	210	138	92	58	33	25	0
41616	42461	44704	46986	48399	49162	50761	51036	52389	53538	53929	52898	51057	49543	48474	48028	47251	47316	46579	45601	44386	44400	45526	46072	48763	49386	51665	52655	54768	53642	53556	52455	50920	47816	45640	44786	43772	42581	42914	42803	42118	40826	40381	39452	39701	38074	37173	36683	36444	35894	35353	35552	35051	35504	34971	29510	28565	27565	28222	27951	30538	29912	29716	27843	28240	27126	26411	24783	23889	22390	21187	19675	18838	17430	15328	14386	12487	11423	10321	8918	7727	6852	5870	4846	3914	3243	2768	2158	1759	1272	920	744	553	371	265	141	92	59	44	35	0
38366	40288	41870	44169	46436	47650	48099	49848	50480	52021	53200	53658	52679	50917	49299	48223	47723	46943	46916	45959	44832	43751	44015	45295	45702	48431	49072	51224	52129	53980	52837	52593	51465	49933	46849	44484	43829	42749	41786	42166	42160	41432	40260	39787	38898	39167	37566	36690	36193	36017	35475	34924	35128	34551	35017	34418	29080	28152	27137	27704	27344	29874	29202	29048	27235	27392	26252	25564	23904	23003	21520	20299	18795	17859	16433	14378	13457	11565	10531	9369	8069	6877	6071	5150	4184	3330	2708	2291	1764	1412	1001	684	554	398	265	180	100	62	37	33	0
36623	37317	39504	41273	43542	45636	46540	47195	49221	50023	51611	52900	53358	52392	50732	49151	47949	47358	46509	46459	45465	44439	43692	44009	45108	45573	48324	48881	50807	51587	53041	51996	51728	50490	49071	45966	43595	42905	41867	40984	41441	41516	40838	39622	39278	38417	38616	37126	36243	35752	35570	35076	34392	34631	34105	34552	33911	28619	27711	26664	27157	26717	29240	28495	28311	26410	26542	25435	24720	23027	22075	20601	19325	17855	16883	15392	13381	12504	10611	9596	8446	7210	6068	5323	4433	3563	2763	2251	1837	1382	1079	749	488	376	268	184	117	66	44	40	0
36964	36022	37124	39445	41209	43180	44894	45912	46920	48978	49906	51502	52729	53265	52353	50822	49112	47903	47254	46287	46151	45182	44569	43832	44070	45231	45647	48320	48902	50664	51205	52593	51542	51287	49958	48570	45502	43005	42332	41371	40513	40988	41075	40414	39240	38884	38063	38203	36761	35899	35452	35149	34666	33977	34200	33707	34047	33352	28215	27255	26245	26616	26143	28635	27844	27432	25616	25667	24632	23881	22115	21196	19670	18372	16918	15869	14397	12419	11560	9704	8660	7614	6366	5357	4634	3780	3043	2271	1845	1478	1082	842	566	361	266	188	126	82	49	50	0
36133	36381	35975	37309	39632	41070	42816	44533	45876	46913	48953	49940	51513	52769	53323	52449	50954	49146	47841	46964	46022	45944	45227	44773	44015	44335	45375	45613	48313	48960	50648	51211	52427	51350	51038	49692	48300	45244	42689	42036	41156	40279	40702	40830	40106	38996	38636	37850	37918	36557	35617	35115	34816	34356	33596	33824	33278	33587	32832	27760	26774	25738	26067	25585	28016	27026	26614	24906	24818	23751	23004	21207	20233	18670	17321	15948	14814	13354	11469	10491	8773	7752	6759	5503	4650	3983	3180	2517	1838	1481	1182	827	619	398	251	175	130	85	53	56	0
36115	35934	36546	36140	37245	39493	40800	42595	44541	45887	47002	49051	50033	51670	52890	53556	52647	51136	49280	47803	46873	45998	46170	45620	45069	44356	44647	45602	45833	48589	49179	50799	51318	52373	51290	50932	49579	48185	45113	42547	41890	41021	40170	40515	40603	39962	38799	38395	37592	37733	36316	35309	34818	34509	34041	33234	33416	32918	33097	32267	27248	26275	25267	25507	25009	27231	26248	25850	24124	23946	22911	22047	20306	19248	17672	16311	14930	13756	12361	10514	9554	7843	6874	5968	4790	3969	3323	2656	2047	1509	1154	890	616	446	296	173	113	91	57	64	0
37471	36195	36005	36682	36237	37565	39345	40683	42603	44657	46057	47252	49185	50197	51899	53249	53822	52849	51467	49467	47931	47002	46404	46631	46083	45679	44892	45178	46064	46174	48943	49474	51092	51512	52466	51356	50967	49566	48132	45039	42446	41799	40975	40044	40406	40431	39848	38618	38263	37443	37530	36091	35059	34572	34181	33747	32790	32944	32464	32568	31683	26685	25767	24736	24982	24288	26414	25498	25041	23361	23037	21979	21099	19330	18176	16683	15308	13913	12753	11322	9525	8612	6936	5973	5167	4128	3330	2730	2165	1649	1176	882	668	460	312	199	109	77	53	68	0
